Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
3B,Vanilla-DPO,50,3,0.53076923,0.40375940,0.40375940,0.12857143,0.06923077,0.90000000,0.68433427,0.75754831,0.39255069,10
3B,Vanilla-DPO,50,4,0.54230769,0.42609115,0.42609115,0.16783217,0.09230769,0.92307692,0.68998633,0.74695297,0.24135472,13
3B,Vanilla-DPO,50,5,0.53076923,0.40375940,0.40375940,0.12857143,0.06923077,0.90000000,0.68031124,0.75077968,0.26805302,10
3B,Vanilla-DPO,100,1,0.61538462,0.57056025,0.57056025,0.43181818,0.29230769,0.82608696,0.67544823,0.67842879,0.20510773,46
3B,Vanilla-DPO,100,2,0.60769231,0.56197146,0.56197146,0.42045455,0.28461538,0.80434783,0.67318390,0.68374385,0.25241146,46
3B,Vanilla-DPO,100,3,0.61153846,0.56505176,0.56505176,0.42285714,0.28461538,0.82222222,0.67352289,0.68989519,0.25498869,45
3B,Vanilla-DPO,100,4,0.61153846,0.55997922,0.55997922,0.40935673,0.26923077,0.85365854,0.67473938,0.69214890,0.21645134,41
3B,Vanilla-DPO,100,5,0.62307692,0.57677231,0.57677231,0.43678161,0.29230769,0.86363636,0.67377458,0.69273535,0.24670308,44
3B,Vanilla-DPO,150,1,0.62307692,0.60035134,0.60035134,0.50505051,0.38461538,0.73529412,0.67101819,0.65904967,0.30996458,68
3B,Vanilla-DPO,150,2,0.62692308,0.60519106,0.60519106,0.51256281,0.39230769,0.73913043,0.67053931,0.66423857,0.31111683,69
3B,Vanilla-DPO,150,3,0.64615385,0.62625000,0.62625000,0.54000000,0.41538462,0.77142857,0.67114101,0.65699963,0.28593683,70
3B,Vanilla-DPO,150,4,0.63461538,0.61025641,0.61025641,0.51282051,0.38461538,0.76923077,0.67069649,0.65806293,0.25665439,65
3B,Vanilla-DPO,150,5,0.64230769,0.61999654,0.61999654,0.52791878,0.40000000,0.77611940,0.67565691,0.64954444,0.23377287,67
3B,IPO,50,1,0.52692308,0.40156066,0.40156066,0.12765957,0.06923077,0.81818182,0.68595871,0.75201083,0.34258369,11
3B,IPO,50,2,0.53076923,0.40375940,0.40375940,0.12857143,0.06923077,0.90000000,0.68786675,0.75372140,0.19345197,10
3B,IPO,50,3,0.54230769,0.43098851,0.43098851,0.17931034,0.10000000,0.86666667,0.68303503,0.75584592,0.42087936,15
3B,IPO,50,4,0.53461538,0.41129138,0.41129138,0.14184397,0.07692308,0.90909091,0.68223194,0.74979634,0.27472684,11
3B,IPO,50,5,0.53846154,0.41873463,0.41873463,0.15492958,0.08461538,0.91666667,0.67769735,0.76159857,0.45367366,12
3B,IPO,100,1,0.60769231,0.55949771,0.55949771,0.41379310,0.27692308,0.81818182,0.66990492,0.69872199,0.26745557,44
3B,IPO,100,2,0.60769231,0.55693665,0.55693665,0.40697674,0.26923077,0.83333333,0.67528278,0.70404298,0.28293110,42
3B,IPO,100,3,0.61923077,0.57122154,0.57122154,0.42774566,0.28461538,0.86046512,0.67682560,0.69519952,0.22838549,43
3B,IPO,100,4,0.61153846,0.56255934,0.56255934,0.41618497,0.27692308,0.83720930,0.67692951,0.69516257,0.25952872,43
3B,IPO,100,5,0.62307692,0.57914905,0.57914905,0.44318182,0.30000000,0.84782609,0.67790919,0.68756649,0.25438910,46
3B,IPO,150,1,0.63076923,0.61000000,0.61000000,0.52000000,0.40000000,0.74285714,0.67560209,0.65811534,0.29004290,70
3B,IPO,150,2,0.63461538,0.61182443,0.61182443,0.51776650,0.39230769,0.76119403,0.67098397,0.66930162,0.31001943,67
3B,IPO,150,3,0.61153846,0.58564103,0.58564103,0.48205128,0.36153846,0.72307692,0.68474048,0.65417118,0.24360730,65
3B,IPO,150,4,0.63846154,0.61356018,0.61356018,0.51546392,0.38461538,0.78125000,0.67912395,0.66236475,0.24164880,64
3B,IPO,150,5,0.63461538,0.61333145,0.61333145,0.52261307,0.40000000,0.75362319,0.68070001,0.65484469,0.27431619,69
3B,SimPO,50,1,0.52692308,0.39613663,0.39613663,0.11510791,0.06153846,0.88888889,0.68681713,0.75810132,0.35099853,9
3B,SimPO,50,2,0.52307692,0.38842097,0.38842097,0.10144928,0.05384615,0.87500000,0.68590539,0.75639347,0.37312327,8
3B,SimPO,50,3,0.53461538,0.41129138,0.41129138,0.14184397,0.07692308,0.90909091,0.68149506,0.76455797,0.43833385,11
3B,SimPO,50,4,0.51923077,0.38631772,0.38631772,0.10071942,0.05384615,0.77777778,0.69263136,0.75786144,0.46183082,9
3B,SimPO,50,5,0.53461538,0.40595555,0.40595555,0.12949640,0.06923077,1.00000000,0.68252577,0.76043026,0.38536148,9
3B,SimPO,100,1,0.63076923,0.58773784,0.58773784,0.45454545,0.30769231,0.86956522,0.67199891,0.69704590,0.28595225,46
3B,SimPO,100,2,0.64230769,0.60171962,0.60171962,0.47457627,0.32307692,0.89361702,0.67436505,0.68783588,0.24523404,47
3B,SimPO,100,3,0.60384615,0.55389715,0.55389715,0.40462428,0.26923077,0.81395349,0.67413681,0.70319935,0.29599263,43
3B,SimPO,100,4,0.62307692,0.57677231,0.57677231,0.43678161,0.29230769,0.86363636,0.66984859,0.69037523,0.26213896,44
3B,SimPO,100,5,0.62692308,0.58458928,0.58458928,0.45197740,0.30769231,0.85106383,0.67491929,0.68409827,0.22665492,47
3B,SimPO,150,1,0.66153846,0.64250000,0.64250000,0.56000000,0.43076923,0.80000000,0.67863064,0.65352327,0.26188747,70
3B,SimPO,150,2,0.64230769,0.62424826,0.62424826,0.54187192,0.42307692,0.75342466,0.67517182,0.66489935,0.33921039,73
3B,SimPO,150,3,0.64615385,0.62481962,0.62481962,0.53535354,0.40769231,0.77941176,0.68266572,0.65058469,0.24554543,68
3B,SimPO,150,4,0.64230769,0.62288869,0.62288869,0.53731343,0.41538462,0.76056338,0.67942404,0.65363437,0.27658629,71
3B,SimPO,150,5,0.63846154,0.61666353,0.61666353,0.52525253,0.40000000,0.76470588,0.67946372,0.66336897,0.28714758,68
3B,ORPO,50,1,0.53076923,0.40904687,0.40904687,0.14084507,0.07692308,0.83333333,0.68277762,0.75948001,0.43942199,12
3B,ORPO,50,2,0.53846154,0.41353383,0.41353383,0.14285714,0.07692308,1.00000000,0.68867783,0.76113822,0.31566385,10
3B,ORPO,50,3,0.53461538,0.41129138,0.41129138,0.14184397,0.07692308,0.90909091,0.68381771,0.74926224,0.25137582,11
3B,ORPO,50,4,0.54230769,0.42609115,0.42609115,0.16783217,0.09230769,0.92307692,0.68897293,0.75497687,0.33857122,13
3B,ORPO,50,5,0.53846154,0.41353383,0.41353383,0.14285714,0.07692308,1.00000000,0.68255673,0.76134866,0.36699484,10
